# Phase 1 root/etymology cognate families - 97 derivatives + 3 family anchors = 100 memberships.
# Every membership already existed as morphology:suffix-<englishRoot>; that tag is KEPT (JC #3).
# ORDER: run AFTER curation-2026-09-05-cognates-collections.tsv, so topic:cognate exists.
# concept-id	spanish	english	role	|-collections-to-add	reason
# --- cognate:tener-to-tain (8) - Latin tenere ~ English -tain
z0ppej4qej	seducir	to seduce	reference	cognate:ducir-to-duce|cognate:latin-root|topic:cognate	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix
# --- cognate:tribuir-to-tribute (3) - Latin tribuere ~ English -tribute
p34vsonve4	atribuir	to attribute	reference	cognate:tribuir-to-tribute|cognate:latin-root|topic:cognate	root family: Latin tribuere ~ English -tribute; promoted from morphology:suffix-ute, where a root correspondence was recorded as an English suffix
4r07khungy	contribuir	to contribute	reference	cognate:tribuir-to-tribute|cognate:latin-root|topic:cognate	root family: Latin tribuere ~ English -tribute; promoted from morphology:suffix-ute, where a root correspondence was recorded as an English suffix
779ynouu11	distribuir	to distribute	reference	cognate:tribuir-to-tribute|cognate:latin-root|topic:cognate	root family: Latin tribuere ~ English -tribute; promoted from morphology:suffix-ute, where a root correspondence was recorded as an English suffix
# --- cognate:struir-to-struct (6) - Latin struere ~ English -struct
n0v5y8wx0o	construir	to construct	reference	cognate:struir-to-struct|cognate:latin-root|topic:cognate	root family: Latin struere ~ English -struct; promoted from morphology:suffix-uct, where a root correspondence was recorded as an English suffix
qrdegrts3w	construir	to build	reference	cognate:struir-to-struct|cognate:latin-root|topic:cognate	root family: Latin struere ~ English -struct; promoted from morphology:suffix-uct, where a root correspondence was recorded as an English suffix
3scspzwt5d	instruir	to instruct	reference	cognate:struir-to-struct|cognate:latin-root|topic:cognate	root family: Latin struere ~ English -struct; promoted from morphology:suffix-uct, where a root correspondence was recorded as an English suffix
hbbltk5r4f	obstruir	to obstruct	reference	cognate:struir-to-struct|cognate:latin-root|topic:cognate	root family: Latin struere ~ English -struct; promoted from morphology:suffix-uct, where a root correspondence was recorded as an English suffix
sz6kj23n5m	reconstruir	to reconstruct	reference	cognate:struir-to-struct|cognate:latin-root|topic:cognate	root family: Latin struere ~ English -struct; promoted from morphology:suffix-uct, where a root correspondence was recorded as an English suffix
29il3kxdpo	reconstruir	to rebuild	reference	cognate:struir-to-struct|cognate:latin-root|topic:cognate	root family: Latin struere ~ English -struct; promoted from morphology:suffix-uct, where a root correspondence was recorded as an English suffix
# --- cognate:traer-to-tract (5) - Latin trahere ~ English -tract
zz361ii5vv	atraer	to attract	supporting	cognate:traer-to-tract|cognate:latin-root|topic:cognate	root family: Latin trahere ~ English -tract; promoted from morphology:suffix-act, where a root correspondence was recorded as an English suffix
p4scw97v1h	contraer	to contract	reference	cognate:traer-to-tract|cognate:latin-root|topic:cognate	root family: Latin trahere ~ English -tract; promoted from morphology:suffix-act, where a root correspondence was recorded as an English suffix
4rbp4wgwso	distraer	to distract	reference	cognate:traer-to-tract|cognate:latin-root|topic:cognate	root family: Latin trahere ~ English -tract; promoted from morphology:suffix-act, where a root correspondence was recorded as an English suffix
905ihja4zo	extraer	to extract	reference	cognate:traer-to-tract|cognate:latin-root|topic:cognate	root family: Latin trahere ~ English -tract; promoted from morphology:suffix-act, where a root correspondence was recorded as an English suffix
208ry1ffqk	sustraer	to subtract	reference	cognate:traer-to-tract|cognate:latin-root|topic:cognate	root family: Latin trahere ~ English -tract; promoted from morphology:suffix-act, where a root correspondence was recorded as an English suffix
# --- cognate:escribir-to-scribe (5) - Latin scribere ~ English -scribe
4ur7u7wdv4	describir	to describe	supporting	cognate:escribir-to-scribe|cognate:latin-root|topic:cognate	root family: Latin scribere ~ English -scribe; promoted from morphology:suffix-scribe, where a root correspondence was recorded as an English suffix
1bs20nqq1z	inscribir	to inscribe	reference	cognate:escribir-to-scribe|cognate:latin-root|topic:cognate	root family: Latin scribere ~ English -scribe; promoted from morphology:suffix-scribe, where a root correspondence was recorded as an English suffix
b6wua9uv0p	prescribir	to prescribe	reference	cognate:escribir-to-scribe|cognate:latin-root|topic:cognate	root family: Latin scribere ~ English -scribe; promoted from morphology:suffix-scribe, where a root correspondence was recorded as an English suffix
gjh5b0lek7	suscribirse	to subscribe	reference	cognate:escribir-to-scribe|cognate:latin-root|topic:cognate	root family: Latin scribere ~ English -scribe; promoted from morphology:suffix-scribe, where a root correspondence was recorded as an English suffix
xjwylsxod0	transcribir	to transcribe	reference	cognate:escribir-to-scribe|cognate:latin-root|topic:cognate	root family: Latin scribere ~ English -scribe; promoted from morphology:suffix-scribe, where a root correspondence was recorded as an English suffix
# --- cognate:cluir-to-clude (3) - Latin claudere ~ English -clude
pe06lzc5y3	concluir	to conclude	reference	cognate:cluir-to-clude|cognate:latin-root|topic:cognate	root family: Latin claudere ~ English -clude; promoted from morphology:suffix-ude, where a root correspondence was recorded as an English suffix
xklnks32qd	excluir	to exclude	reference	cognate:cluir-to-clude|cognate:latin-root|topic:cognate	root family: Latin claudere ~ English -clude; promoted from morphology:suffix-ude, where a root correspondence was recorded as an English suffix
dwu519xf0p	incluir	to include	supporting	cognate:cluir-to-clude|cognate:latin-root|topic:cognate	root family: Latin claudere ~ English -clude; promoted from morphology:suffix-ude, where a root correspondence was recorded as an English suffix
# --- cognate:ceder-to-cede (4) - Latin cedere ~ English -cede / -ceed
o3l6oubtj6	conceder	to concede	reference	cognate:ceder-to-cede|cognate:latin-root|topic:cognate	root family: Latin cedere ~ English -cede / -ceed; promoted from morphology:suffix-cede, where a root correspondence was recorded as an English suffix
zb1r0lavqo	exceder	to exceed	reference	cognate:ceder-to-cede|cognate:latin-root|topic:cognate	root family: Latin cedere ~ English -cede / -ceed; promoted from morphology:suffix-cede, where a root correspondence was recorded as an English suffix
xltdt2bpq9	preceder	to precede	reference	cognate:ceder-to-cede|cognate:latin-root|topic:cognate	root family: Latin cedere ~ English -cede / -ceed; promoted from morphology:suffix-cede, where a root correspondence was recorded as an English suffix
ihevpwrjl9	proceder	to proceed	reference	cognate:ceder-to-cede|cognate:latin-root|topic:cognate	root family: Latin cedere ~ English -cede / -ceed; promoted from morphology:suffix-cede, where a root correspondence was recorded as an English suffix
# --- cognate:primir-to-press (4) - Latin premere ~ English -press
4yf8ijcj19	comprimir	to compress	reference	cognate:primir-to-press|cognate:latin-root|topic:cognate	root family: Latin premere ~ English -press; promoted from morphology:suffix-press, where a root correspondence was recorded as an English suffix
dfw51tn4hy	expresar	to express	supporting	cognate:primir-to-press|cognate:latin-root|topic:cognate	root family: Latin premere ~ English -press; promoted from morphology:suffix-press, where a root correspondence was recorded as an English suffix
nk0a8snhq8	reprimir	to repress	reference	cognate:primir-to-press|cognate:latin-root|topic:cognate	root family: Latin premere ~ English -press; promoted from morphology:suffix-press, where a root correspondence was recorded as an English suffix
a3bhdljvih	suprimir	to suppress	reference	cognate:primir-to-press|cognate:latin-root|topic:cognate	root family: Latin premere ~ English -press; promoted from morphology:suffix-press, where a root correspondence was recorded as an English suffix
# --- cognate:vertir-to-vert (3) - Latin vertere ~ English -vert
hyjsumzen7	convertir	to convert	supporting	cognate:vertir-to-vert|cognate:latin-root|topic:cognate	root family: Latin vertere ~ English -vert; promoted from morphology:suffix-vert, where a root correspondence was recorded as an English suffix
vmofgr1p4a	invertir	to invert	reference	cognate:vertir-to-vert|cognate:latin-root|topic:cognate	root family: Latin vertere ~ English -vert; promoted from morphology:suffix-vert, where a root correspondence was recorded as an English suffix
bwkdp2bsi4	revertir	to revert	reference	cognate:vertir-to-vert|cognate:latin-root|topic:cognate	root family: Latin vertere ~ English -vert; promoted from morphology:suffix-vert, where a root correspondence was recorded as an English suffix
# --- cognate:servar-to-serve (4) - Latin servare ~ English -serve
invu1lmtuw	conservar	to conserve	reference	cognate:servar-to-serve|cognate:latin-root|topic:cognate	root family: Latin servare ~ English -serve; promoted from morphology:suffix-serve, where a root correspondence was recorded as an English suffix
5g4fbayz0u	observar	to observe	reference	cognate:servar-to-serve|cognate:latin-root|topic:cognate	root family: Latin servare ~ English -serve; promoted from morphology:suffix-serve, where a root correspondence was recorded as an English suffix
gbkix5lyv6	preservar	to preserve	reference	cognate:servar-to-serve|cognate:latin-root|topic:cognate	root family: Latin servare ~ English -serve; promoted from morphology:suffix-serve, where a root correspondence was recorded as an English suffix
alnivw5ja6	reservar	to reserve	supporting	cognate:servar-to-serve|cognate:latin-root|topic:cognate	root family: Latin servare ~ English -serve; promoted from morphology:suffix-serve, where a root correspondence was recorded as an English suffix
# --- cognate:solver-to-solve (3) - Latin solvere ~ English -solve
55iitmw0d7	absolver	to absolve	reference	cognate:solver-to-solve|cognate:latin-root|topic:cognate	root family: Latin solvere ~ English -solve; promoted from morphology:suffix-olve, where a root correspondence was recorded as an English suffix
vuqfy6bg06	disolver	to dissolve	reference	cognate:solver-to-solve|cognate:latin-root|topic:cognate	root family: Latin solvere ~ English -solve; promoted from morphology:suffix-olve, where a root correspondence was recorded as an English suffix
jck1nkdlkp	resolver	to resolve	supporting	cognate:solver-to-solve|cognate:latin-root|topic:cognate	root family: Latin solvere ~ English -solve; promoted from morphology:suffix-olve, where a root correspondence was recorded as an English suffix
# --- cognate:gerir-to-gest (3) - Latin gerere ~ English -gest
gqqod0k0fl	digerir	to digest	reference	cognate:gerir-to-gest|cognate:latin-root|topic:cognate	root family: Latin gerere ~ English -gest; promoted from morphology:suffix-gest, where a root correspondence was recorded as an English suffix
6hc9qj9an6	ingerir	to ingest	reference	cognate:gerir-to-gest|cognate:latin-root|topic:cognate	root family: Latin gerere ~ English -gest; promoted from morphology:suffix-gest, where a root correspondence was recorded as an English suffix
ph8exwfohx	sugerir	to suggest	supporting	cognate:gerir-to-gest|cognate:latin-root|topic:cognate	root family: Latin gerere ~ English -gest; promoted from morphology:suffix-gest, where a root correspondence was recorded as an English suffix
# --- cognate:hibir-to-hibit (3) - Latin habere ~ English -hibit
hzw88e00ad	exhibir	to exhibit	reference	cognate:hibir-to-hibit|cognate:latin-root|topic:cognate	root family: Latin habere ~ English -hibit; promoted from morphology:suffix-hibit, where a root correspondence was recorded as an English suffix
ahkjwrez5w	inhibir	to inhibit	reference	cognate:hibir-to-hibit|cognate:latin-root|topic:cognate	root family: Latin habere ~ English -hibit; promoted from morphology:suffix-hibit, where a root correspondence was recorded as an English suffix
3qo4l6ua2u	prohibir	to prohibit	reference	cognate:hibir-to-hibit|cognate:latin-root|topic:cognate	root family: Latin habere ~ English -hibit; promoted from morphology:suffix-hibit, where a root correspondence was recorded as an English suffix
# --- cognate:cibir-to-ceive (3) - Latin capere ~ English -ceive
286sjydeon	concebir	to conceive	reference	cognate:cibir-to-ceive|cognate:latin-root|topic:cognate	root family: Latin capere ~ English -ceive; promoted from morphology:suffix-eive, where a root correspondence was recorded as an English suffix
a2ujxq83pk	percibir	to perceive	reference	cognate:cibir-to-ceive|cognate:latin-root|topic:cognate	root family: Latin capere ~ English -ceive; promoted from morphology:suffix-eive, where a root correspondence was recorded as an English suffix
xuo5hy2tk4	recibir	to receive	supporting	cognate:cibir-to-ceive|cognate:latin-root|topic:cognate	root family: Latin capere ~ English -ceive; promoted from morphology:suffix-eive, where a root correspondence was recorded as an English suffix
# --- cognate:plicar-to-ply (4) - Latin plicare ~ English -ply / -plain
0l9aed93ze	aplicar	to apply	supporting	cognate:plicar-to-ply|cognate:latin-root|topic:cognate|cognate:false-friend	root family: Latin plicare ~ English -ply / -plain; promoted from morphology:suffix-ply, where a root correspondence was recorded as an English suffix | ALSO a false friend: Spanish aplicar does not cover applying for a job (solicitar). Sense split deferred per JC #7 (folded in here so this id appears in exactly one concepts-apply manifest)
3lzsofawpo	explicar	to explain	supporting	cognate:plicar-to-ply|cognate:latin-root|topic:cognate	root family: Latin plicare ~ English -ply / -plain; promoted from morphology:suffix-ply, where a root correspondence was recorded as an English suffix
bp593daco9	implicar	to imply	reference	cognate:plicar-to-ply|cognate:latin-root|topic:cognate	root family: Latin plicare ~ English -ply / -plain; promoted from morphology:suffix-ply, where a root correspondence was recorded as an English suffix
uu1cnr3a36	multiplicar	to multiply	reference	cognate:plicar-to-ply|cognate:latin-root|topic:cognate	root family: Latin plicare ~ English -ply / -plain; promoted from morphology:suffix-ply, where a root correspondence was recorded as an English suffix
# --- cognate:currir-to-cur (2) - Latin currere ~ English -cur
zuvh5lsd8u	incurrir en	to incur	reference	cognate:currir-to-cur|cognate:latin-root|topic:cognate	root family: Latin currere ~ English -cur; promoted from morphology:suffix-cur, where a root correspondence was recorded as an English suffix
p0b6bsx2vd	ocurrir	to occur	supporting	cognate:currir-to-cur|cognate:latin-root|topic:cognate	root family: Latin currere ~ English -cur; promoted from morphology:suffix-cur, where a root correspondence was recorded as an English suffix
# --- cognate:hender-to-hend (2) - Latin prehendere ~ English -hend
9nxtl23uza	aprehender	to apprehend	reference	cognate:hender-to-hend|cognate:latin-root|topic:cognate	root family: Latin prehendere ~ English -hend; promoted from morphology:suffix-hend, where a root correspondence was recorded as an English suffix
98sen5xp7y	comprender	to comprehend	reference	cognate:hender-to-hend|cognate:latin-root|topic:cognate	root family: Latin prehendere ~ English -hend; promoted from morphology:suffix-hend, where a root correspondence was recorded as an English suffix
# --- family anchor rows (bare Spanish lemma; its own English is deliberately NOT the cognate)
wwwc8jugby	tener [algo]	to have [something]	core	cognate:tener-to-tain|cognate:latin-root|cognate:opaque-gloss|topic:cognate	family anchor: the bare lemma is what makes the family findable, and its gloss is not the cognate - that is the teaching point
rtsiqg8t58	poner [algo] [en algún lugar]	to put [something] [somewhere]	core	cognate:poner-to-pose|cognate:latin-root|cognate:opaque-gloss|topic:cognate	family anchor: the bare lemma is what makes the family findable, and its gloss is not the cognate - that is the teaching point
qdd1gcrv5r	traerle [algo] a [alguien]	to bring [somebody] [something]	core	cognate:traer-to-tract|cognate:latin-root|cognate:opaque-gloss|topic:cognate	family anchor: the bare lemma is what makes the family findable, and its gloss is not the cognate - that is the teaching point
