sdy4rgtwmm	un millón	one million	reference		real example	La ciudad tiene un millón de habitantes.	The city has one million inhabitants.
dciouj17pb	mil millones	one billion	reference		real example	La empresa vale mil millones.	The company is worth one billion.
k55vujgmii	un billón	one trillion	reference		real example	El país gastó un billón en salud.	The country spent one trillion on health.
9o6a4s1b8r	primero	first	supporting		real example	Fui el primero en llegar.	I was the first to arrive.
b873sqi6dn	segundo	second	supporting		real example	El segundo capítulo es mejor que el primero.	The second chapter is better than the first.
tjcqfkkqiu	tercero	third	supporting		real example	Soy el tercero de la fila.	I am the third one in line.
wyiqfycbnf	cuarto	fourth	supporting		real example	Es su cuarto intento.	It is his fourth attempt.
zx0826h1su	quinto	fifth	supporting		real example	Vivo en el quinto piso.	I live on the fifth floor.
9xwjaxx2ka	sexto	sixth	supporting		real example	Mi hijo está en sexto grado.	My son is in sixth grade.
bfnuu0ozjx	séptimo	seventh	supporting		real example	El séptimo día descansó.	On the seventh day he rested.
t6wkqhpm57	octavo	eighth	supporting		real example	La oficina está en el octavo piso.	The office is on the eighth floor.
eoj808qjm7	noveno	ninth	supporting		real example	Batea en el noveno turno.	He bats in the ninth inning.
t4ckxs8du4	décimo	tenth	supporting		real example	Hoy es mi décimo aniversario.	Today is my tenth anniversary.
aprfxkmesv	undécimo	eleventh	reference		real example	Quedó en el undécimo puesto.	He finished in eleventh place.
fv9twzk5vu	duodécimo	twelfth	reference		real example	Diciembre es el duodécimo mes.	December is the twelfth month.
oljrncfcgu	decimotercero	thirteenth	reference		real example	Ocupa el decimotercero lugar de la lista.	It occupies thirteenth place on the list.
4j4cet6jrx	decimocuarto	fourteenth	reference		real example	Terminó en el decimocuarto lugar.	He finished in fourteenth place.
4d3heb4mbq	decimoquinto	fifteenth	reference		real example	Es el decimoquinto de la fila.	He is the fifteenth in line.
d9ku6sypzb	decimosexto	sixteenth	reference		real example	Llegó en el decimosexto lugar.	She arrived in sixteenth place.
qy8dbta3g5	decimoséptimo	seventeenth	reference		real example	Va en el decimoséptimo puesto.	He is in seventeenth place.
w7v1xbofeh	decimoctavo	eighteenth	reference		real example	Ocupa el decimoctavo lugar.	It occupies eighteenth place.
v8mzz6qkky	decimonoveno	nineteenth	reference		real example	Quedó en el decimonoveno puesto.	He finished in nineteenth place.
fav0tspprb	vigésimo	twentieth	reference		real example	Celebramos el vigésimo aniversario.	We celebrated the twentieth anniversary.
3zrpmgzhu0	vigésimo primero	twenty-first	reference		real example	Es el vigésimo primero de la lista.	He is the twenty-first on the list.
qtu26s1v80	vigésimo segundo	twenty-second	reference		real example	Ocupa el vigésimo segundo lugar.	It occupies twenty-second place.
i854uf9zga	vigésimo tercero	twenty-third	reference		real example	Quedó en el vigésimo tercero puesto.	He finished in twenty-third place.
jccwif5bru	vigésimo cuarto	twenty-fourth	reference		real example	Es el vigésimo cuarto de la fila.	He is the twenty-fourth in line.
hiy3ohj2u3	vigésimo quinto	twenty-fifth	reference		real example	Celebran el vigésimo quinto año.	They celebrate the twenty-fifth year.
k5y9psummq	vigésimo octavo	twenty-eighth	reference		real example	Llegó en el vigésimo octavo lugar.	She arrived in twenty-eighth place.
kp1yf7bp6y	vigésimo noveno	twenty-ninth	reference		real example	Ocupa el vigésimo noveno puesto.	It occupies twenty-ninth place.
kpgve97xvk	trigésimo	thirtieth	reference		real example	Hoy es su trigésimo cumpleaños.	Today is her thirtieth birthday.
myxgwcbh32	trigésimo primero	thirty-first	reference		real example	Es el trigésimo primero de la lista.	It is the thirty-first on the list.
75fnqpigxy	centésimo	hundredth	reference		real example	Celebran el centésimo aniversario.	They celebrate the hundredth anniversary.
8tpyd0qe5n	milésimo	thousandth	reference		real example	Es el milésimo cliente de la tienda.	He is the store's thousandth customer.
i92vaq4f3x	millonésimo	millionth	reference		real example	Fue el millonésimo visitante.	She was the millionth visitor.
