# Questions & Negation frames folded into their infinitive rows (owner decision 2026-09-16; regenerated against the live DB).
# id	role	reason
bvjzllj20d	Trash	question/negation frame «¿[estabas haciendo algo]? → were you [doing something]?» folded into «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); question and negation are lesson rules (owner 2026-09-16)
ihsw7a0ggn	Trash	question/negation frame «¿vas a [hacer algo]? → are you going [to do something]?» folded into «ir a [hacer algo] → to be going [to do something]» (38d1kfif1b); question and negation are lesson rules (owner 2026-09-16)
ob3a6c4swk	Trash	question/negation frame «¿ibas a [hacer algo]? → were you going to [do something]?» folded into «ir a [hacer algo] → to be going [to do something]» (38d1kfif1b); question and negation are lesson rules (owner 2026-09-16)
78zjjk2mwo	Trash	question/negation frame «¿debes [hacer algo]? → must you [do something]?» folded into «deber [hacer algo] → must [do something]» (uekbgu9nsq); question and negation are lesson rules (owner 2026-09-16)
dtlxfmo16j	Trash	question/negation frame «¿deberías [hacer algo]? → should you [do something]?» folded into «deber [hacer algo] (consejo) → should [do something]» (yrb2jzggm4); question and negation are lesson rules (owner 2026-09-16)
7uxwcm2q2o	Trash	question/negation frame «no debería [hacer algo] → shouldn't [do something]» folded into «deber [hacer algo] (consejo) → should [do something]» (yrb2jzggm4); question and negation are lesson rules (owner 2026-09-16)
bxt46dkdag	Trash	question/negation frame «no quiso [hacer algo] → wouldn't [do something]» folded into «no querer [hacer algo] (pasado) → to refuse [to do something]» (e6kt0s21ap); question and negation are lesson rules (owner 2026-09-16)
s1qoakwebg	Trash	question/negation frame «¿lo haces? → do you do it?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
mk6oc0jtgw	Trash	question/negation frame «¿ella lo hace? → does she do it?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
0krc7ykvx4	Trash	question/negation frame «¿ellos lo hicieron? → did they do it?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
m5xw7iodne	Trash	question/negation frame «no lo hago → I don't do it» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
bt7rdzvto5	Trash	question/negation frame «no lo hicieron → they didn't do it» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
8hhxabswez	Trash	question/negation frame «¿[haces algo]? → do you [do something]?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
c4ekkqs73f	Trash	question/negation frame «sí [hago algo] (énfasis) → I do [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
xvgmxfgcrd	Trash	question/negation frame «sí [alguien] [hizo algo] (énfasis) → [somebody] did [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
vuym0ms6tf	Trash	question/negation frame «sí [alguien] [hace algo] (énfasis) → [somebody] does [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
m2op0ycc10	Trash	question/negation frame «¿[harás algo]? → will you [do something]?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
di2yhfha43	Trash	question/negation frame «no [haré algo] → won't [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
qoxz39dr3t	Trash	question/negation frame «¿[harías algo]? → would you [do something]?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
yjkuu2ysaa	Trash	question/negation frame «no [haría algo] → wouldn't [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
jgfakbesvj	Trash	question/negation frame «¿[alguien] [hace algo]? → does [somebody] [do something]?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
zctehn9sxz	Trash	question/negation frame «¿[alguien] [hizo algo]? → did [somebody] [do something]?» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
mrssm64iu9	Trash	question/negation frame «[alguien] no [hace algo] → [somebody] doesn't [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
rz2ue36k0f	Trash	question/negation frame «[alguien] no [hizo algo] → [somebody] didn't [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
2uzud05u1l	Trash	question/negation frame «no [hago algo] → I don't [do something]» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
azpvrshi2u	Trash	question/negation frame «sí lo hago → I do do it» folded into «hacer → to do» (qt9aqatj4f); question and negation are lesson rules (owner 2026-09-16)
p3fuo2folk	Trash	question/negation frame «No como carne. → I don't eat meat.» folded into «comer [algo] → to eat [something]» (blyn87wx6n); question and negation are lesson rules (owner 2026-09-16)
4e8vpd4tbg	Trash	question/negation frame «Ella no come carne. → She doesn't eat meat.» folded into «comer [algo] → to eat [something]» (blyn87wx6n); question and negation are lesson rules (owner 2026-09-16)
l0ff67q199	Trash	question/negation frame «¿Comes carne? → Do you eat meat?» folded into «comer [algo] → to eat [something]» (blyn87wx6n); question and negation are lesson rules (owner 2026-09-16)
7zuboxokm5	Trash	question/negation frame «¿Ella come carne? → Does she eat meat?» folded into «comer [algo] → to eat [something]» (blyn87wx6n); question and negation are lesson rules (owner 2026-09-16)
t1monumdj4	Trash	question/negation frame «¿No comes carne? → Don't you eat meat?» folded into «comer [algo] → to eat [something]» (blyn87wx6n); question and negation are lesson rules (owner 2026-09-16)
zkkcxirv4g	Trash	question/negation frame «No fui a la fiesta. → I didn't go to the party.» folded into «ir a [un lugar] → to go to [a place]» (2iiyjrogmc); question and negation are lesson rules (owner 2026-09-16)
1m68s37p22	Trash	question/negation frame «¿Fueron a la fiesta? → Did they go to the party?» folded into «ir a [un lugar] → to go to [a place]» (2iiyjrogmc); question and negation are lesson rules (owner 2026-09-16)
362prshjtp	Trash	question/negation frame «¿No fueron a la fiesta? → Didn't they go to the party?» folded into «ir a [un lugar] → to go to [a place]» (2iiyjrogmc); question and negation are lesson rules (owner 2026-09-16)
9hsbrn2qzb	Trash	question/negation frame «Ella no es doctora. → She isn't a doctor.» folded into «ser [una identidad] → to be [an identity]» (othawv9u0f); question and negation are lesson rules (owner 2026-09-16)
9814unz0vu	Trash	question/negation frame «¿Es ella doctora? → Is she a doctor?» folded into «ser [una identidad] → to be [an identity]» (othawv9u0f); question and negation are lesson rules (owner 2026-09-16)
6a2v9efdpz	Trash	question/negation frame «Ellos no son de aquí. → They aren't from here.» folded into «ser de [un lugar] → to be from [a place]» (2z3yhpg9ve); question and negation are lesson rules (owner 2026-09-16)
waj96uzzcf	Trash	question/negation frame «No estaba listo. → I wasn't ready.» folded into «[estar] listo → [to be] ready» (zgccmkmabz); question and negation are lesson rules (owner 2026-09-16)
erzwuc6ywd	Trash	question/negation frame «¿No estás listo? → Aren't you ready?» folded into «[estar] listo → [to be] ready» (zgccmkmabz); question and negation are lesson rules (owner 2026-09-16)
yet9gjs718	Trash	question/negation frame «¿Están listos? → Are they ready?» folded into «[estar] listo → [to be] ready» (zgccmkmabz); question and negation are lesson rules (owner 2026-09-16)
5tbq59flnh	Trash	question/negation frame «No estaban en casa. → They weren't home.» folded into «estar [en un lugar] → to be [at a place]» (obf74hel79); question and negation are lesson rules (owner 2026-09-16)
aq0gtmpie2	Trash	question/negation frame «¿No lo sabe él? → Doesn't he know?» folded into «saber [algo] → to know [something]» (3wtzllym25); question and negation are lesson rules (owner 2026-09-16)
