# spanish	english	exampleSpanish	exampleEnglish	role	collections
algunas [sustantivos]	some [nouns]	Algunas personas llegaron tarde.	Some people arrived late.	supporting	grammar:quantifier|grammar:feminine|grammar:plural|pos:determiner|topic:determiner|es:alguno|en:some
ningún [sustantivo]	no [noun]	No tengo ningún problema con eso.	I have no problem with that.	supporting	grammar:quantifier|grammar:negative|grammar:masculine|grammar:singular|pos:determiner|topic:determiner|es:ninguno|en:no
ninguna [sustantivo]	no [noun]	No hay ninguna razón para esperar.	There is no reason to wait.	supporting	grammar:quantifier|grammar:negative|grammar:feminine|grammar:singular|pos:determiner|topic:determiner|es:ninguno|en:no
cualquier [sustantivo]	any [noun]	Llámame a cualquier hora.	Call me at any time.	supporting	grammar:quantifier|pos:determiner|topic:determiner|es:cualquiera|en:any
varios [sustantivos]	several [nouns]	Vinieron varios amigos a la fiesta.	Several friends came to the party.	supporting	grammar:quantifier|grammar:masculine|grammar:plural|pos:determiner|topic:determiner|es:varios|en:several
varias [sustantivos]	several [nouns]	Tengo varias ideas para el proyecto.	I have several ideas for the project.	supporting	grammar:quantifier|grammar:feminine|grammar:plural|pos:determiner|topic:determiner|es:varios|en:several
poco [sustantivo]	little [noun]	Tengo poco tiempo hoy.	I have little time today.	supporting	grammar:quantifier|grammar:masculine|grammar:uncountable|pos:determiner|topic:determiner|es:poco|en:little
poca [sustantivo]	little [noun]	Hay poca luz en esta sala.	There is little light in this room.	supporting	grammar:quantifier|grammar:feminine|grammar:uncountable|pos:determiner|topic:determiner|es:poco|en:little
más [sustantivo]	more [noun]	Necesito más tiempo para terminar.	I need more time to finish.	supporting	grammar:quantifier|grammar:comparison|pos:determiner|topic:determiner|es:más|en:more
medio [sustantivo]	half a [noun]	Espera medio minuto.	Wait half a minute.	reference	grammar:quantifier|grammar:masculine|pos:determiner|topic:determiner|es:medio|en:half
media [sustantivo]	half a [noun]	Bebió media botella de agua.	He drank half a bottle of water.	reference	grammar:quantifier|grammar:feminine|pos:determiner|topic:determiner|es:medio|en:half
bastante [sustantivo]	quite a lot of [noun]	Hay bastante comida para todos.	There is quite a lot of food for everyone.	reference	grammar:quantifier|pos:determiner|topic:determiner|es:bastante|en:quite
bastantes [sustantivos]	quite a few [nouns]	Había bastantes personas en la reunión.	There were quite a few people at the meeting.	reference	grammar:quantifier|grammar:plural|pos:determiner|topic:determiner|es:bastante|en:quite
tal [sustantivo]	such a [noun]	Nunca dije tal cosa.	I never said such a thing.	reference	grammar:quantifier|pos:determiner|topic:determiner|es:tal|en:such
tales [sustantivos]	such [nouns]	En tales casos, es mejor esperar.	In such cases, it is better to wait.	reference	grammar:quantifier|grammar:plural|pos:determiner|topic:determiner|es:tal|en:such
qué [sustantivo]	what [noun]	¿Qué libro estás leyendo?	What book are you reading?	core	grammar:interrogative-determiner|pos:function-word|topic:determiner|es:qué|en:what
cuánto [sustantivo]	how much [noun]	¿Cuánto dinero necesitas?	How much money do you need?	supporting	grammar:interrogative-determiner|grammar:masculine|grammar:uncountable|pos:function-word|topic:determiner|es:cuánto|en:how
cuánta [sustantivo]	how much [noun]	¿Cuánta agua bebes al día?	How much water do you drink a day?	supporting	grammar:interrogative-determiner|grammar:feminine|grammar:uncountable|pos:function-word|topic:determiner|es:cuánto|en:how
qué [sustantivo] (exclamativo)	what a [noun]	¡Qué día tan bonito!	What a beautiful day!	supporting	grammar:exclamative|pos:function-word|topic:determiner|es:qué|en:what
cuyo [sustantivo]	whose [noun]	El hombre cuyo perro ladra vive al lado.	The man whose dog barks lives next door.	reference	grammar:relative-determiner|grammar:masculine|grammar:singular|pos:function-word|topic:determiner|es:cuyo|en:whose
cuya [sustantivo]	whose [noun]	La mujer cuya casa compré es amable.	The woman whose house I bought is kind.	reference	grammar:relative-determiner|grammar:feminine|grammar:singular|pos:function-word|topic:determiner|es:cuyo|en:whose
cuyos [sustantivos]	whose [nouns]	El autor cuyos libros leo es español.	The author whose books I read is Spanish.	reference	grammar:relative-determiner|grammar:masculine|grammar:plural|pos:function-word|topic:determiner|es:cuyo|en:whose
cuyas [sustantivos]	whose [nouns]	La empresa cuyas oficinas cerraron quebró.	The company whose offices closed went bankrupt.	reference	grammar:relative-determiner|grammar:feminine|grammar:plural|pos:function-word|topic:determiner|es:cuyo|en:whose
